Symbol,Name,PE Ratio,Dividend Yield,Earnings Growth
TBB,AT&T Inc. 5.350% Global Notes d,0.42343632265193376,0.0,0.0
HDB,HDFC Bank Limited,0.14422056543121506,0.032127496837844674,0.0031183798526381234
BA,Boeing Company (The),0.0,0.0,0.0
QCOM,QUALCOMM Incorporated,0.10383087024241434,0.0518593473311409,0.003906788325144781
VZ,Verizon Communications Inc.,0.1517258577595641,0.1649380217556286,0.0
LYG,Lloyds Banking Group Plc,0.3447437206656921,0.13786997217303312,0.006518792004384319
FMX,Fomento Economico Mexicano S.A.,0.02236322810624006,0.043511257272957245,0.0028203229910807284
TXN,Texas Instruments Incorporated,0.09916307280518442,0.07993928661775866,0.0021537011931889198
PFE,"Pfizer, Inc.",0.031502769673203035,0.15254238047052868,0.0
MS,Morgan Stanley,0.13524930067465923,0.09891222362762458,0.0020575538184929854
RYAAY,Ryanair Holdings plc,0.15305532088387655,0.016696180116367317,0.00015063088702362958
IBM,International Business Machines,0.1006847479484277,0.09005818365798127,0.0037529525256312876
UNP,Union Pacific Corporation,0.09369916168991534,0.05059448520111307,0.0031600437150063614
AMGN,Amgen Inc.,0.09916239948110628,0.0781684796357197,0.0014422106204390087
PM,Philip Morris International Inc,0.12448964200092272,0.14318238552997722,0.0028491672034895083
CAT,"Caterpillar, Inc.",0.14001770783763276,0.04022261573488489,0.0059835716185769544
NOW,"ServiceNow, Inc.",0.02581382257404281,0.0,0.006092538643232346
UPS,"United Parcel Service, Inc.",0.11942390494840023,0.11054894510498355,0.0014325958829694153
RY,Royal Bank Of Canada,0.17506181825411365,0.10447761699974702,0.0032978549520705333
SPGI,S&P Global Inc.,0.04419902876474353,0.0204907665064508,0.004297787648908246
COP,ConocoPhillips,0.17978855608886868,0.05565393372122439,0.0030254373904320536
AMAT,"Applied Materials, Inc.",0.0989887372730938,0.015937262079433342,0.0037401328756718295
GE,General Electric Company,0.11834247816304003,0.004806476094105742,0.0023780450674794323
HON,Honeywell International Inc.,0.09701661148946841,0.053883126739185425,0.003980501312411664
AXP,American Express Company,0.11881950234713323,0.02782696686061219,0.003964476749962342
LOW,"Lowe's Companies, Inc.",0.12725684871277304,0.04730584366304073,0.03978898856166732
SCHW,Charles Schwab Corporation (The,0.09082496905583905,0.038704781178851504,0.0015928415074626385
UBER,"Uber Technologies, Inc.",0.026352645917938372,0.0,0.007188618714765992
NEE,"NextEra Energy, Inc.",0.14279930402783533,0.0913230457880091,0.0023716352424997035
GS,"Goldman Sachs Group, Inc. (The)",0.13238714065901233,0.07057930432582847,0.00519836805856016
PLD,"Prologis, Inc.",0.057727123565279925,0.07235011636731595,0.0033491335519083647
BLK,"BlackRock, Inc.",0.1029167620788616,0.06299013407538577,0.0034516907515840275
